a | zu, an, bei
agonie | Todeskampf
agraffe | Spange
agrandar | vergrößern
agre | Feld, Acker
agreabil | angenehm
agricultura | Landwirtschaft
agricultural | landwirtschaftlich
agullie | Nadel
ah! | ah!, ach!, ha!
ahontar | beschämen
ajornar | aufschieben, vertagen
al- | unbestimmt, irgend
alactar | stillen, säugen
alarm | Alarm
alarm-horloge | Wecker
alarmar | alarmieren
alaude | Lerche
albanes | albanisch
Albania | Albanien
albatroz | Albatros
albergar | beherbergen
albergo | Herberge, Wirtshaus
albergo de yunesse | Jugendherberge
album | Album
albumine | Eiweiß
alcali | Alkali
alchimie | Alchemie
alco | Elch
alcohol | Alkohol
alcú | irgendwo
alcun | irgendein
ale | Flügel
alegar | sich berufen, anführen
alegri | munter, lustig
alen | Ahle
alert | wachsam, munter, aufgeweckt
aleviar | erleichtern
aleviament | Erleichterung
alfabete | Alphabet
alga | Alge
algebra | Algebra
Algeria | Algerien
algerian | algerisch
alie | Knoblauch
alienar | veräußern, verrückt machen
alienat | wahnsinnig
aliment | Nahrungsmittel
aliment-moné | Unterhalt
alinear se | sich anstellen
allé | Allee
alliantie | Bündnis, Allianz
alliar | verbünden
alinea | Absatz (Schrift)
allegorie | Allegorie
alligator | Alligator
almanac | Kalender, Almanach
almosne | Almosen
alne | Erle
alocution | Ansprache
along | entlang
alor | dann, damals
alpe | Alm
(li) Alpes | (die) Alpen
alpin | alpin
alpinist | Bergsteiger
alqual | irgendwelcher
alquam | irgendwie
alquande | jemals
alquant | ziemlich, etwas
alquel | irgendwelcher
alquem | jemanden, jemandem
alquí | jemand
alquicos | etwas
alquó | etwas
Alsatia | Elsass
alt | hoch
con alt voce | laut
altare | Altar
alternar | abwechseln
alternativ | alternativ
alternative | Alternative
altesse | Hoheit
alto | Alt (Stimme)
altore | Höhe
altri | anderer
altricos | etwas anderes
altrimen | sonst, anders
aluder | anspielen auf
aluminator | Feuerzeug
aluminium | Aluminium
alun | Alaun
alusion | Anspielung
amabil | liebenswürdig
amabilitá | Liebenswürdigkeit
amansar | zähmen
amansat | zahm
amansation | Zähmung
amar | lieben, mögen
amari | bitter
amaritá | Bitterkeit
amassar | anhäufen, ansammeln
amasse | Menge, Masse
amator | Amateur, Liebhaber
amazona | Amazone
ambassade | Botschaft
ambassador | Botschafter
ambi | beide
ambicie | Ehrgeiz
ambiciosi | ehrgeizig
ambigui | doppelsinnig
ambiguitá | Doppelsinn, Ambiguität
amblar | schlendern
ambre | Bernstein
ambulantie | Krankenwagen
ameliorar | verbessern
amelioration | Verbesserung
amemorar | jemanden an etwas erinnern
America | Amerika
american | amerikanisch
amfibic | amphibisch
amfibie | Amphibie
amíca | Freundin
amical | freundschaftlich
amicitá | Freundschaft
amíco | Freund
amidon | Stärke (Kraftmehl)
amnestiar | begnadigen
amnestie | Amnestie, Begnadigung
amoniac | Ammoniak
amor-afere | Liebesaffäre
amore | Liebe
amortisar | tilgen
ampli | weit, geräumig
amplore | Weite, Geräumigkeit
amputar | amputieren
amulete | Amulett
amusament | Vergnügen
amusant | amüsant
amusar | sich vergnügen
anacronisme | Anachronismus
analfabete | Analphabet
analisar | analysieren
analise | Analyse
analog | analog
analogie | Analogie
ananás | Ananas
anarchic | anarchistisch
anarchie | Anarchie
anate | Ente
anatomie | Anatomie
Anatolia | Anatolien
anatolian | anatolisch
anc | auch
anchove | Anschovis
ancian | alt (seit langer Zeit bestehend), ehemalig
ancor | noch
ancre | Anker
levar ancre | den Anker lichten
Andalusia | Andalusien
andalusian | andalusisch
(li) Andes | (die) Anden
Andorra | Andorra
andorran | andoranisch
anecdote | Anekdote
anelle orelari | Ohrring
anelle | Ring
anemone | Anemone
anexe | Anhang
anexer | annektieren
anexion | Annektion
ángel | Engel
ángelic | engelhaft
anglesi | Englisch, englisch
Anglia | England
anglosaxonic | angelsächsisch
Angola | Angola
angoles | angolanisch
anguille | Aal
angul | Ecke, Winkel
angulari | eckig, verwinkelt
(li) Antilles | (die) Antillen
agustiar | quälende Angst haben
angustie | (quälende) Angst, Bange, Qual
anhelar | keuchen
anihilar | vernichten
anihilation | Vernichtung, Auslöschen
anim | Seele
animalic | tierisch, animalisch
animale | Tier
animar | beleben, anregen
animation | Belebung
annales | Annalen
anniversarie | Geburtstag, Geburtstag
anonim | anonym
anonimitá | Anonymität
annu | Jahr
annu bissextil | Schaltjahr
annual | jährlich
anonim | anonym
anormal | anormal, abnorm
anse | Henkel
Antarctica | Antarktis
ante omnicos | vor allem
ante | vor (zeitlich)
ante-chambre | Vorzimmer
ante-midí | Vormittag
antecessor | Vorgänger
antenne | Antenne
anteque | bevor
anteriori | vorhergehend
antey | vorher
anteyer | vorgestern
anti- | gegen-
anti-semite | Antisemit, Judenhasser
antialcoholic | antialkoholisch
anticipar | vorwegnehmen, vorgreifen
anticipation | Vorwegnahme
Antilles | Antillen
antilop | Antilope
antipatic | unsympathisch
antipatie | Abneigung, Antipathie
antiquaric | antiquarisch
antiquario | Betreiber eines Antiquariats
antiqui | antik, altertümlich
antiquitá | Antike, Altertum
antiquario | Antiquar
anullar | annullieren, stornieren, absagen
anunciar | anzeigen, anmelden einchecken
ánus | Anus, After
anxiar | ängstigen, aufregen
anxietá | Angst, Aufregung
aparate | Apparat
aparation | Erscheinen, Auftauchen
aparentie | Aussehen, Anschein
aparer | scheinen, den Anschein haben
aparir | erscheinen, auftauchen
apart | besonders, abgetrennt
apartament | Wohnung
apartener a | gehören zu
apartenentie | Zugehörigkeit
apátic | apathisch, teilnahmslos
ape | Biene
ape-reyessa | Bienenkönigin
apejorar | verschlechtern, verschlimmern
apell | Aufruf, Appell, Berufung
apellar | aufrufen, appellieren
apen | kaum
(li) Apennines | (die) Apenninen
apercepter | wahrnehmen
apert | offen, geöffnet
aperter | öffnen
apertura | Öffnung
apetite | Appetit
apicultura | Imkerei
apiere | Bienenstock, Bienenkorb
aplaster | zertreten, platt drücken
aplauder | Beifall spenden, applaudieren
aplause | Beifall, Applaus
aplicar | anwenden
aplication | Anwendung
aplombe | Dreistigkeit, Gleichgewicht Festigkeit im Auftreten
apopastiar | vom Glauben abfallen
apopastie | Abfall vom Glauben
aportar | bringen, holen
aportar con se | mitbringen
aposir | anfügen, hinzusetzen
apostrof | Apostroph
apoy | Stütze, Unterstützung
apoyar | stützen, unterstützen
apoteca | Apotheke
apreciar | schätzen, anerkennen, bewerten
aprender | lernen
aprensibil | erlernbar
aprension | Lernen
aprensor | Lernender
aprentisage | Lehre (Handwerk)
aprentiso | Lehrling
apretar | zurichten, herrichten
april | April
aprobar | gutheißen, billigen
aprobativ | billigend
aprofundar | vertiefen
a propó | übrigens, apropos
apropriar se | sich aneignen
apt | geeignet
aptitá | Eignung
apu | neben, bei
apuntar | zielen
aqua mineral | Mineralwasser
aqua | Wasser
aquarelle | Aquarell
aquarium | Aquarium
aquavite | Schnaps
áquil | Adler
aquisiter | erwerben, ankaufen
aquisition | Erwerb, Ankauf
Arabia | Arabien
arabic | arabisch
arané | Spinne
arangeament | Veranstaltung
arangear | anordnen, einrichten
arar | ackern, pflügen
arbalest | Armbrust
arbalestero | Armbrustschütze
arbitrage | Schlichtung
arbitrar | schlichten
arbitrari | willkürlich
arbritrarie | Willkür
arbitro | Schiedsrichter
árbor | Baum
arbuste | Strauch
arc | Bogen
arcabuse | Büchse, Feuerrohr
arcabusero | Büchsenmacher
arcero | Bogenschütze
archeologie | Archäologie
archelogo | Archäologe
archi- | Erz-
archipelago | Archipel
architecte | Architekt
architectura | Architektur
archive | Archiv
Arctica | Arktis
ardent | glühend, brennend
arder | glühen, in Flammen aufgehen
ardese | Schiefer
ardore | Glut
area | Fläche
area de stationament | Parkplatz
arena | Arena, Stadion
arestar | verhaften
arestation | Verhaftung
argente | Silber
argentin | silbern
Argentina | Argentinien
argil | Lehm, Ton
argilosi | tönern, aus Lehm
arguer | schließen, folgern, schlussfolgern
argument | Argument
argumentar | argumentieren
arid | trocken, dürr
ariditá | Dürre, Trockenheit
ariva | Ankunft
arivar | ankommen
arlequin | Harlekin
armament | Bewaffnung
armat | bewaffnet
armator | Reeder
armé | Armee
arme | Waffe
armear | bewaffnen
Armenia | Armenien
armenian | armenisch
armistricie | Waffenstillstand
armoracia | Meerrettich
arogant | arrogant
arogantie | Arroganz
arogar | sich anmaßen
aroma | Aroma, Geschmack
aromatic | würzig
arondar | abrunden
arosear | begießen
arsenale | Arsenal
arte | Kunst
artichoc | Artischocke
articul | Artikel
articular | artikulieren
articulation | Artikulation
artificial | künstlich
artificie | Kunstgriff
artillerie | Artillerie
artisan | Handwerker
artisanatu | Handwerk
artise | Handwerker
artist | Künstler
ascender | ersteigen, hinaufgehen
ascender in | einsteigen
ascension | Aufstieg, Himmelfahrt
asfixiar | ersticken
asfixie | Erstickung
Asia | Asien
Asia Minori | Kleinasien
asiatic | asiatisch
asil | Asyl
asil por orfanes | Waisenhaus
ásino | Esel
asparge | Spargel
aspecte | Aussehen, Anblick, Gesichtspunkt
aspecter | aussehen
asperser | begießen, besprengen
aspirar | einatmen, einsaugen, streben
aspirar a | sich bewerben
aspri | rau
apritá | Rauigkeit
asperser | gießen, besprenkeln
ass | Ass
assalt-ramme | Rammbock
assaltar | überfallen, angreifen
assalte | Anfall, Überfall
assassinar | ermorden
assassination | Ermordung
assassinator | Attentäter
assecurar | versichern
assecurantie | Versicherung
assediar | belagern
assediation | Belagerung
assemblar | versammeln
assemblé | Versammlung
assentiment | Zustimmung
assentir (a) | zustimmen (zu)
asserter | behaupten
assertion | Behauptung
assidui | emsig, beharrlich, anhaltend
assiduitá | Emsigkeit, Beharrlichkeit
assignar | zuweisen (Rang)
assimilar | angleichen, assimilieren
assimilation | Angleichung, Assimilierung
Assiria | Assyrien
assirian | assyrisch
assises | Schwurgericht, Versammlung von Gelehrten
assistente | Assistent, Helfer
assistentie | Beistand, Hilfe
assister | beistehen, behilflich sein
assortir | sortieren, sichten
asterisco | Sternchen (*)
astma | Asthma
astmatic | asthmatisch
astmatico | Asthmatiker
astonar | verwundern, wundern
astor | Habicht
astre | Gestirn
astrict | straff
astronomie | Astronomie
astut | schlau, listig
astutie | List, Trick
atacca | Angriff
ataccar | angreifen
atachar | befestigen, festmachen, anknüpfen
ateisme | Atheismus
atelar | anspannen
ateliere | Werkstatt, Atelier
atender | warten
atentar | sich an etwas vergreifen
atentate | Attentat
atenter | aufpassen
atention | Aufmerksamkeit, Achtung
atentiv | aufmerksam
ateo | Atheist
aterrar | landen
atest | Zeugnis
atestar | bescheinigen
atestation | Zeugnis, Bescheinigung
atinger | erreichen
atitude | Haltung
Atlantic Ocean | Atlantik
atlas | Atlas
atletisme | Athletik
atmosfere | Atmosphäre
atom | Atom
atom-bombe | Atombombe
atraer | anziehen (fesseln)
atration | Attraktion, Anziehung
atrativ | attraktiv
atribuer | zuschreiben, beimessen
atribution | Zuschreibung, Beifügung, Attribut
atributiv | zuschreibend, attributiv
atroci | grausam, grässlich
atrocitá | Grausamkeit, Gräueltat
atrupper se | sich zu einer Gruppe vereinigen
auction | Versteigerung, Auktion
auctionar | versteigern
audaci | kühn, wagemutig
audaciar | wagen
audie | Gehör
audir | hören
auditor | Hörer
auditorie | Zuhörerschaft
augmentar | steigern, steigen
augmentation | Steigerung, Erhöhung
august | August
augurar | vorhersagen
augure | Vorhersage
aure | Gold
aurin | golden
auripelle | Tand
aurora | Morgendämmerung
auscultar | abhören (medizinisch)
austeri | streng, ernst, schmucklos
Australia | Australien
Austria | Österreich
autentic | autenthisch
autencitá | Authentizität, Echtheit
auto(mobile) | Auto(mobil)
autobus | Bus
auto-strada | Autobahn
autocrate | Autokrat, Alleinherrscher
autor | Autor, Schriftsteller, Urheber
autoressa | Autorin, Schriftstellerin, Urheberin
autorisar | autorisieren
autoritá | Macht, Behörde
autoritativ | mächtig, autoritär
autun | Herbst
autunal | herbstlich
auxiliar | helfen
auxiliari | Hilfs-
auxilie | Hilfe
ava | Oma
avalanche | Lawine
avan | vor (örtlich)
in avan | vorne
avansar | vorgehen (Uhr), vorrücken
avanse | Vorrücken, Vorschuss, Beförderung
avantage | Vorteil
avantale | Schürze
avari | geizig
avaritá | Geiz
avelane | Haselnuss
aven | Hafer
aventura | Abenteuer
aventurero | Abenteurer
aventurosi | abenteuerlich
averse | Vorderseite (Münze. Stoff)
aversi | abgeneigt, Widerwille erregend
aversion | Abneigung, Widerwille
aviallia | Geflügel
aviar | fliegen
aviation | Flug (mit Maschine)
aviator | Flieger
avid | gierig
aviditá | Gier
avie | Vogel
avie passatori | Zugvogel
aviere | Vogelkäfig
avigilar se | aufwachen
avigilator | Wecker
avion | Flugzeug
avise | Ankündigung, Benachrichtigung
avo | Opa
avocate | Anwalt, Rechtsanwalt
axe | Achse
axille | Achselhöhle
Azores | Azoren
azur | himmelblau
babillaci | schwatzhaft
babillada | Geschwätz
babillar | schwatzen
baccalaureatu | Reifeprüfung
bacille | Bazille
bacteries | Bakterien
bagage | Gepäck
bagatelle | Bagatelle, Kleinigkeit
bagatellisar | bagatellisieren
bakchich | Bakschisch, Bestechungsgeld
balanciar | abwiegen, wiegen
balancie | Waage
balansar | schaukeln, balanzieren
balanse | Schaukel, Kontoabschluss
balansuore | Schaukel
balayage | Kehricht
balayar | fegen, kehren
balaye | Besen
balbutiar | stammeln, stottern, lallen
balcon | Balkon
baldachine | Baldachin
balen | Wal, Walfisch
ball | Ball (Fest- und Tanzveranstaltung)
ballade | Ballade
ballast | Ballast
balle | Ball (Sportgerät)
ballett(e) | Ballett
ballon | Ballon
balne | Bad
balne-chambre | Badezimmer
balne-cuve | Badewanne
balnear | baden
balneari | Bade-
balnería | Badeanstalt, Schwimmbad
balnuore | Badewanne
balotar | hin und her schütteln, Stichwahl vornehmen
balation | Stimmabgabe, Stichwahl
balsam | Balsam
balsamic | balsamisch
balustrade | Geländer, Balustrade
balustre | Geländer
bambú | Bambus
banal | banal
banalitá | Banalität
banane | Banane
banca | Sitzbank
bancrott | bankrott
bancrotte | Bankrott
band | Binde, Band
bandage | Bandage, Verband
bandagear | binden, bandagieren
banderol | Kreuzband, Banner, Wimpel
bandite | Bandit
baniere | Banner
banjó | Banjo
bank | Bank (Geldinstitut)
bank-billett | Banknote, Geldschein
bankero | Bankier
bank-managero | Bankmanager
bank-note | Banknote, Geldschein
bann | Bann
banniment | Bann, Verbannung
bannir | bannen, verbannen
banquett(e) | Bankett
banquettar | einen Bankett abhalten
baptisa | Taufe
baptisar | taufen
baptisme | Taufe
bar | Bar
barbar | Barbar
baracca | Baracke
barbe | Bart
barbero | Barbier
barbotar | patschen (im Schlamm)
barbut | bärtig
barca | Boot, Barke
bardo | Barde
barett | Barett
baril | Fass, Tonne
bariton | Bariton
barium | Barium
baroc | Barock
barometre | Barometer
baron | Baron
baronessa | Baronesse
barrar | absperren, sperren, behindern
barre | Riegel, Stange, Barren
barricade | Barrikade
basar | basieren, sich gründen
basalte | Basalt
base | Basis, Grundlage
basilica | Basilika
basilisc | Basilisk
bass | niedrig
a bass | herunter
con bass voce | leise
basse | Bass
bassete | Dackel
bassine | Becken
bassist | Bassist
basson | Fabott
bassviolin | Bratsche
bast | Bast
basta! | genug!
bastament | Streik
bastamentar | streiken
bastarde | Bastard
bastille | Zwingburg
bastion | Bollwerk, Bastion
baston | Stock, Knüppel
bastonar | knüppeln
bat | Schlagholz (Sport), Schläger
batracian | Froschlurch
battalliar | eine Schlacht führen
battallie | Schlacht
battallion | Bataillon
battente | Klöppel
batter | schlagen
batterie | Batterie
Bavaria | Bayern
bavar | geifern
bave | Geifer
bavette | Latz, Lätzchen
bay | Bucht
bayonette | Bajonett
bazar | Bazar
beat | selig
beatitá | Seligkeit
bebé | Baby
bec | Schnabel
becasse | Schnepfe
bed | Beet
beduina | Beduinenfrau
beduino | Beduine
begonie | Begonie
bel- | Schwieger-
bel-fratre | Schwager
bel-matre | Schwiegermutter
bel-patre | Schwiegervater
bel-soror | Schwager
belada | Blöken, Meckern
belar | blöken, meckern
Belgia | Belgien
bell | schön
bella | Schönheit (schöne Frau)
belladonna | Tollkirsche
bellitá | Schönheit
bene | Wohl
benedir | segnen
benedition | Segen
benefator | Wohltäter
beneficie | Wohltat, Gewinn
benessere | Wohlstand, Wohlsein
benevenit | willkommen
benigni | gütig, freundlich, milde
benque | obwohl, obschon, wenngleich
bentost | bald
benzine | Benzin
benzine-station | Tankstelle
bere | Beere
besa | Kuss
besar | küssen
beson | Mangel, Not, Bedürfnis, Bedarf
besonar | brauchen
bestial | bestialisch
bestie | wildes Tier, Bestie
bestie predatori | Raubtier
bestialitá | Bestialität
bete | Zuckerrübe
bet-rap | Runkelrübe
betul | Birke
beyar | klaffen
bi- | doppelt, bi-
biatlon | Biatlon
bible | Bibel
biblic | biblisch
bibliografie | Bibliographie
biblioteca | Bibliothek
biceps | Bizeps
bicicle | Fahrrad
bidon de sordidage | Abfalleimer
bielle | Lenkstange, Kurbelstange
bifstec | Steak
bifurcar | abzweigen
bifurcation | Weiche (Eisenbahn)
bigamie | Bigamie
bigamist | Bigamist
bigott | frömmelnd, bigott
bigotteríe | Bigotterie, übertriebene Frömmigkeit
bikini | Bikini
bilanciar | bilanzieren
bilancie | Bilanz
bilie | Galle
bilingui | zweisprachig
billet(e) | Eintrittskarte, Fahrkarte
billetería | Fahrkartenschalter
billiard | Billard
billiard-bull | Billardball
billiarde | Billiarde
billion | Billion
binocul | Feldstecher, Fernglas
biologie | Biologie
biografie | Biographie
bir | Bier
birería | Bierbar, Bierlokal
biscuit | Keks
bisecter | halbieren, in zwei Teile schneiden
bisection | Zweiteilung
bisel | Schrägfläche, schiefe Kante
bisexual | bisexuell
bisexualitá | Bisexualität
bison | Bison
bitúmine | Erdpech
bivac | Biwak, Feldlager
bivacar | biwakieren
bizarri | seltsam, wunderlich, bizarr
bizarreríe | Merkwürdigkeit
blagar | aufschneiden, Possen spielen
blama | Tadel
blamabil | blamabel
blamage | Blamage
blamar | schelten, schimpfen, tadeln
blanc | weiß
blancar | bleichen
blancospine | Hagedorn, Weißdorn
blasar | abstumpfen
blasfemar | lästern, Gottes lästern
blasfemation | Gotteslästern
blasfemator | Gotteslästerer
blasfematori | gotteslästerlich
blason | Wappen, Wappenschild
blatte | Schabe
blindage | Panzerung
blindar | panzern
bloc | Block, Klotz
blocada | Blockade
blocar | blockieren
blond | blond
blu | blau
bluse | Bluse
bob-slitte | Bobfahren
bobine | Spule
bocale | Pokal
bocca | Mund
boccade | einen Mund voll
boccal | mündlich
bollientar | zum Kochen bringen
bolliere | Boiler
bollir | kochen, sieden
bolt | Bolzen
bombastic | bombastisch
bombavion | Bomber, Bombenflugzeug
bombe | Bombe
bon | gut
bon apetite | guten Appetit
bon die | guten Tag
bon matine | guten Morgen
bon nocte | gute Nacht
bon vésper | guten Abend
bon viage | gute Reise
bondesirante | Gönner
bonissim | sehr gut
bonna | Kindermädchen
bontá | Gut
bonus-payament | Bonuszahlung
bonvenit | willkommen
bord | Rand, Ufer, Bord (Schiff)
a bord | an Bord
bordar | angrenzen, entlanggehen
bordell(e) | Bordell
borgesacho | Spießbürger
borgese | Bürger (Stand)
borgo | Flecken, Städtchen
borgomastra | Bürgermeisterin
borgomastro | Bürgermeister
bornar | begrenzen (sich auf)
bornar se | sich beschränken
borne | Terminal
borse | Geldbörse, Geldbeutel
boscage | Gebüsch
boscallia | Gestrüpp, Unterholz
bosco | Busch
bosillage | Flickerei, Pfusch
bosillar | pfuschen
bosillatura | Pfusch
Bosnia e Hercegovina | Bosnien-Herzegowina
bossar | wölben, krümmen
bossat | gewölbt, gekrümmt
bosse | Buckel
bote | Boot
botte | Stiefel
botell(e) | Flasche
bove | Ochse
bovello | Kalb
bovin | Rind-
bovine | Rindfleisch
bovo | Stier
boxar | boxen
boxe | Boxen
boxero | Boxer
boy | Junge, Knabe
boye | Boje
brac-merce | Ausschussware
braconage | Wilderei
braconar | wildern
braconero | Wilderer
brambere | Brombeere
bran | Kleie
branchage | Geäst, Astwerk
branche | Ast, Zweig, Fach
branchette | kleiner Zweig
branchie | Kieme
brandisser | schwenken
brandon | Brandfackel
brandy | Branntwein, Brandy
brase | Glut
Brasilia | Brasilien
brasse | Arm
brasselett | Armband
brav | brav, tapfer
bravar | tapfer sein, mutig sein
bravitá | Tapferkeit
bravore | Tapferkeit, Kühnheit
breche | Bresche
breton | bretonisch, Bretonisch
brevete | Patent
brevi | kurz
brevitá | Kürze
bridar | (auf)zäumen, zügeln
bride | Zaumzeug; Zügel
brigade | Brigade
brigadero | Brigadier
brigante | Wegelagerer
brilliant | glänzend
brilliar | scheinen, glänzen
brique | Ziegelstein
brise | Brise
brochar | broschieren
broche | Brosche
brochura | Broschüre
brodar | sticken
broderíe | Stickerei
brodular | brodeln
bronchial | bronchial
bronchie | Bronchie
bronze | Bronze
brossar | bürsten
brosse | Bürste
brove | Augenbraue
brue | Geräusch
bruida | Lärm
bruiosi | laut, lärmend
bruir | lärmen
brular | brennen
brulatura | Verbrennung
brun | braun
brunar | bräunen
brunetta | Brünette
brunetti | brünett
brusqui | barsch, brüsk
brutal | brutal
brutalisar | brutalisieren
brutalitá | Brutalität
brute | Vieh
buc | Bock
buchar | schlachten
buchero | Metzger
buchería | Fleischerei, Metzgerei
buclar | wellen, Locken machen
bucle | Locke
buddhistic | buddhistisch
bufete | Imbiss
buffa | Posse
buffle | Büffel
buffon | Narr, Clown
buffre | Puffer (beim Eisenbahnwagen)
bul | Kugel, Kanonenkugel
bul de nive | Schneeball
bulbe | Knolle
bulevard | Boulevard, Ringstraße
Bulgaria | Bulgarien
bullion | Kraftbrühe, Bouillon
buquette | Blumenstrauß
burasca | (jäher) Windstoß
burdon | Hummel
burgeon | Knospe
burgeonar | knospen, sprießen
burla | Scherz, Schabernack
burlar | scherzen, Schabernack treiben
burlesc | burlesk
buró | Büro
